country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,avg_value
Puerto Rico,PRI,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,21.65021573,0,0,24.12152897,23.92919665,23.40794725,24.41255323,24.10903841,24.25349469,24.61048714,23.10961924,23.6204576,25.24609332,26.82508854,28.63835103,28.91453106,33.16013648,33.28355649,34.96820421,34.84078431,36.7571574,36.30677438,36.53082163,37.07963372,38.46450899,38.98330146,38.8422167,39.47048589,39.70014174,39.174467,39.62172296,39.21481662,40.95531011,41.783786,42.19660912,41.89547055,40.72840741,40.05662186,42.51401461,37.45042444,39.68895559,42.81662342,43.9738354,43.63682288,42.73084118,42.40124289,42.06132688,42.04075362,42.96689531,45.51738019,47.34365169,46.59612144,46.24771574,46.44304539,46.73319941,47.90264618,48.44287772,47.33511955,47.4373032,47.64169609,48.82066932,48.12829205,37.7955832
Liechtenstein,LIE,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86668185,38.7329025,36.53852031,38.72937345,0,0,37.71686953
Algeria,DZA,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47905286,44.98039779,40.2337955,38.77373461,41.06504534,42.84511093,48.7973262,49.87942321,47.80111722,48.95478003,35.86954286,39.03524177,39.59350399,37.75906102,33.54889581,30.93603438,23.17309737,21.68468255,23.91892299,26.54995282,23.86191483,18.8249165,25.99505029,35.58959134
China,CHN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.97506997,32.09392433,32.45232806,32.38335312,32.1194116,31.59623809,31.61282168,32.06479119,31.52857787,30.67100807,30.39644421,28.95167058,28.06944224,28.10893687,27.84101115,26.77472171,26.28516911,27.4377471,30.13125928
San Marino,SMR,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.48453792,28.59252259,28.65222825,32.18865127,30.59027596,31.47603937,0,29.99737589
Belarus,BLR,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.17090069,44.44444444,39.13043478,28.12182741,27.01624234,27.97624441,29.55811905,30.39936755,29.47700029,28.19639637,27.04350873,26.5995854,25.96840651,26.65350282,28.55028225,25.3421468,24.99981077,24.90693694,26.18436746,22.45739183,22.51008707,26.42223633,24.78302798,21.99575511,21.08755763,20.6443546,20.15218696,21.6291152,21.2579004,21.63990615,21.4866318,22.860707,26.48957447
Eswatini,SWZ,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,8.167330677,8.561020036,12.54681648,14.73684211,12.35059761,11.360799,13.62704918,15.07092199,21.2987013,20.82405345,18.29268293,19.4092827,20.42360061,20.93180284,21.04352839,18.00184786,17.78798163,17.26914511,14.49814126,15.25702536,13.27102804,18.53259281,25.12402253,29.37774105,30.56679995,31.42155327,31.54375023,30.0697026,31.4538265,30.75505268,32.77370532,31.87550144,33.02423906,32.91066349,32.1324338,33.86420508,34.26538759,33.69901953,33.0148947,33.93914698,34.23648693,34.49022424,35.21546165,34.59717481,34.79175403,32.52848802,31.68918025,31.01901265,29.64226635,30.64160892,31.71397586,31.23146028,29.81041845,29.04058516,29.55974096,26.52452868,26.66233786,25.58717793
Argentina,ARG,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,41.18416018,41.00858489,37.82402724,36.19621884,36.64543034,31.54474366,35.76285897,36.35807353,34.33397467,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,14.0601434,13.54083907,14.36714485,15.47916583,24.39334105
Ireland,IRL,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.68710675,20.43953797,21.79010252,23.24454282,23.53153356,23.11914115,25.24987023,26.74511048,23.35858488,21.12736231,19.59207962,18.57305851,17.97273941,17.55906889,20.38868836,19.49288026,20.54567518,19.65028207,19.21084273,19.53700169,34.650981,33.10622074,31.88471742,32.76699178,31.58510251,34.04510934,34.61500883,24.23960522
Thailand,THA,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,12.53676604,12.99299911,14.04412573,14.18072173,13.86062511,14.1717757,13.64736619,15.25989138,15.25738269,15.56062932,15.94301172,17.53585444,18.40094059,19.18055026,19.16189005,18.66139177,19.68253978,20.17348077,20.01229034,21.04133206,21.51062261,22.63978964,21.32183956,22.13240287,22.90930765,21.92124875,23.87556951,24.25477807,25.83876034,26.74830998,27.203606,28.24108711,27.51715424,26.17463978,25.90148248,26.20811198,25.66599779,26.46817301,27.14785944,28.17494832,28.37544528,27.82676748,28.51503178,29.58050295,29.41896805,29.61506806,30.16807997,30.58744967,30.55473054,29.46214007,30.93047882,28.99588092,27.97278735,27.58869075,27.57350096,27.3740712,27.14423937,27.01481548,26.71283439,25.619617,25.48997752,27.00880706,23.49501836
