pop2023,city,country,growthRate,type,rank
37194104,Tokyo,Japan,-0.0021,w,1
32941308,Delhi,India,0.0273,w,2
29210808,Shanghai,China,0.0243,w,3
23209616,Dhaka,Bangladesh,0.0325,w,4
22619736,Sao Paulo,Brazil,0.0085,w,5
22281442,Mexico City,Mexico,0.0089,w,6
22183200,Cairo,Egypt,0.0199,w,7
21766214,Beijing,China,0.0203,w,8
21296516,Mumbai,India,0.016,w,9
19013434,Osaka,Japan,-0.0024,w,10
17340704,Chongqing,China,0.0276,w,11
17236230,Karachi,Pakistan,0.0235,w,12
16315534,Kinshasa,DR Congo,0.044,w,13
15945912,Lagos,Nigeria,0.0363,w,14
15847768,Istanbul,Turkey,0.0135,w,15
15490415,Buenos Aires,Argentina,0.0078,w,16
15332793,Kolkata,India,0.0131,w,17
14667089,Manila,Philippines,0.0181,w,18
14284353,Guangzhou,China,0.0229,w,19
14238643,Tianjin,China,0.0162,w,20
13979390,Lahore,Pakistan,0.0323,w,21
13727720,Rio de Janeiro,Brazil,0.0069,w,22
13607800,Bangalore,India,0.0314,w,23
13072633,Shenzhen,China,0.0188,w,24
12680389,Moscow,Russia,0.0031,w,25
11776147,Chennai,India,0.0237,w,26
11507960,Bogota,Colombia,0.0144,w,27
11248839,Jakarta,Indonesia,0.0157,w,28
11208440,Paris,France,0.0059,w,29
11204382,Lima,Peru,0.0145,w,30
11069982,Bangkok,Thailand,0.0156,w,31
10801163,Hyderabad,India,0.0253,w,32
9988049,Seoul,South Korea,0.0012,w,33
9698464,Nanjing,China,0.0285,w,34
9653772,Chengdu,China,0.0185,w,35
9648110,London,United Kingdom,0.0113,w,36
9569328,Nagoya,Japan,-0.0002,w,37
9499781,Tehran,Iran,0.0126,w,38
9320866,Ho Chi Minh City,Vietnam,0.0268,w,39
9292336,Luanda,Angola,0.038,w,40
8992908,New York City,United States,0.007,w,41
8785174,Xi-an Shaanxi,China,0.029,w,42
8718250,Wuhan,China,0.0147,w,43
8650605,Ahmedabad,India,0.0237,w,44
8621724,Kuala Lumpur,Malaysia,0.024,w,45
8237206,Hangzhou,China,0.0239,w,46
8074031,Suzhou,China,0.0399,w,47
8064949,Surat,India,0.0361,w,48
7775865,Dar es Salaam,Tanzania,0.0501,w,49
7711305,Baghdad,Iraq,0.0265,w,50
7684801,Hong Kong,Hong Kong,0.0054,w,51
7682430,Riyadh,Saudi Arabia,0.0191,w,52
7680967,Shenyang,China,0.0203,w,53
7597386,Foshan,China,0.0134,w,54
7587049,Dongguan,China,0.01,w,55
7166374,Pune,India,0.0257,w,56
6903392,Santiago,Chile,0.0068,w,57
6803811,Haerbin,China,0.0207,w,58
6751374,Madrid,Spain,0.0056,w,59
6371958,Toronto,Canada,0.0093,w,60
6344348,Khartoum,Sudan,0.0299,w,61
6247889,Belo Horizonte,Brazil,0.0087,w,62
6198016,Johannesburg,South Africa,0.0219,w,63
6080859,Singapore,Singapore,0.0068,w,64
6077995,Dalian,China,0.0249,w,65
5986525,Qingdao,China,0.0207,w,66
5859272,Zhengzhou,China,0.0297,w,67
5806031,Ji-nan Shandong,China,0.0253,w,68
5687356,Barcelona,Spain,0.0051,w,69
5686350,Abidjan,Ivory Coast,0.0309,w,70
5610241,Yangon,Myanmar,0.0174,w,71
5588477,Alexandria,Egypt,0.0191,w,72
5561294,Saint Petersburg,Russia,0.0046,w,73
5490271,Fukuoka,Japan,-0.0022,w,74
5460591,Addis Ababa,Ethiopia,0.0445,w,75
5419880,Guadalajara,Mexico,0.015,w,76
5397098,Ankara,Turkey,0.0165,w,77
5379660,Chittagong,Bangladesh,0.0241,w,78
5325160,Nairobi,Kenya,0.0403,w,79
5253385,Hanoi,Vietnam,0.0367,w,80
5235407,Melbourne,Australia,0.0164,w,81
5120894,Sydney,Australia,0.0127,w,82
5116647,Monterrey,Mexico,0.0159,w,83
4921487,Changsha,China,0.0232,w,84
4890280,Cape Town,South Africa,0.0186,w,85
4873048,Brasilia,Brazil,0.0144,w,86
4865038,Urumqi,China,0.0329,w,87
4862941,Jiddah,Saudi Arabia,0.0172,w,88
4761284,Kunming,China,0.0223,w,89
4710382,Changchun,China,0.0204,w,90
4615758,Hefei,China,0.0265,w,91
4588666,Kabul,Afghanistan,0.0293,w,92
4573713,Shantou,China,0.0186,w,93
4537901,Ningbo,China,0.0301,w,94
4509287,Yaounde,Cameroon,0.0398,w,95
4504147,Xinbei,Taiwan,0.0075,w,96
4420855,Tel Aviv,Israel,0.0178,w,97
4370473,Shijiazhuang,China,0.0199,w,98
4348481,Kano,Nigeria,0.0306,w,99
4315671,Rome,Italy,0.0041,w,100
4307958,Montreal,Canada,0.0073,w,101
4263940,Recife,Brazil,0.0103,w,102
4211933,Porto Alegre,Brazil,0.0063,w,103
4207084,Jaipur,India,0.0244,w,104
4206240,Fortaleza,Brazil,0.0102,w,105
4191890,Nanning,China,0.026,w,106
4145010,Taiyuan Shanxi,China,0.0207,w,107
4118327,Ekurhuleni,South Africa,0.0182,w,108
4102308,Medellin,Colombia,0.0085,w,109
4088555,Kozhikode,India,0.0428,w,110
4063200,Douala,Cameroon,0.0348,w,111
4009087,Malappuram,India,0.0505,w,112
3981658,Changzhou,China,0.0291,w,113
3958384,Salvador,Brazil,0.0098,w,114
3945409,Lucknow,India,0.0237,w,115
3935484,Xiamen,China,0.0188,w,116
3930586,Los Angeles,United States,0.0027,w,117
3922202,Fuzhou Fujian,China,0.0204,w,118
3920379,Nanchang,China,0.0268,w,119
3919724,Wenzhou,China,0.0249,w,120
3892837,Casablanca,Morocco,0.0137,w,121
3874908,Ibadan,Nigeria,0.0315,w,122
3872264,Antananarivo,Madagascar,0.0466,w,123
3846102,Kampala,Uganda,0.0532,w,124
3839646,Abuja,Nigeria,0.0514,w,125
3814702,Tangshan Hebei,China,0.0329,w,126
3813082,Curitiba,Brazil,0.0112,w,127
3768239,Kumasi,Ghana,0.038,w,128
3729351,Bekasi,Indonesia,0.0296,w,129
3710845,Faisalabad,Pakistan,0.0237,w,130
3580904,Guiyang,China,0.0243,w,131
3573938,Berlin,Germany,0.0009,w,132
3523890,Santo Domingo,Dominican Republic,0.0192,w,133
3510511,Asuncion,Paraguay,0.0169,w,134
3482456,Thrissur,India,0.0391,w,135
3480101,Port Harcourt,Nigeria,0.0467,w,136
3471949,Busan,South Korea,0.0011,w,137
3437346,Wuxi,China,0.0182,w,138
3429536,Dakar,Senegal,0.0311,w,139
3422796,Campinas,Brazil,0.0113,w,140
3406055,Kochi,India,0.0317,w,141
3367852,Mashhad,Iran,0.0151,w,142
3344761,Puebla,Mexico,0.0152,w,143
3302077,Indore,India,0.0291,w,144
3297759,Kuwait City,Kuwait,0.0183,w,145
3297528,Lanzhou,China,0.022,w,146
3292497,Sanaa,Yemen,0.0348,w,147
3234160,Kanpur,India,0.0139,w,148
3228003,Durban,South Africa,0.009,w,149
3203923,Ouagadougou,Burkina Faso,0.0485,w,150
3181250,Lusaka,Zambia,0.0458,w,151
3157538,Pyongyang,North Korea,0.008,w,152
3154570,Milan,Italy,0.0017,w,153
3154463,Athens,Greece,0.0002,w,154
3142466,Guayaquil,Ecuador,0.0162,w,155
3095099,Guatemala City,Guatemala,0.0193,w,156
3088414,Izmir,Turkey,0.0106,w,157
3046687,Nagpur,India,0.0185,w,158
3044413,Surabaya,Indonesia,0.013,w,159
3041229,Depok,Indonesia,0.0337,w,160
3016789,Kiev,Ukraine,0.0022,w,161
3010685,Zhongshan,China,0.0124,w,162
3009047,Coimbatore,India,0.0254,w,163
3007583,Dubai,United Arab Emirates,0.0146,w,164
3005409,Handan,China,0.03,w,165
3000536,Lisbon,Portugal,0.0048,w,166
2987455,Port-au-Prince,Haiti,0.0248,w,167
2979893,Huaian,China,0.035,w,168
2972145,Caracas,Venezuela,0.0052,w,169
2937359,Shizuoka,Japan,0.0007,w,170
2929373,Bamako,Mali,0.0399,w,171
2917819,Weifang,China,0.0293,w,172
2901810,Algiers,Algeria,0.0168,w,173
2891746,Mbuji-Mayi,DR Congo,0.0458,w,174
2891119,Thiruvananthapuram,India,0.0351,w,175
2863730,Cali,Colombia,0.0095,w,176
2848557,Incheon,South Korea,0.0051,w,177
2848473,Goiania,Brazil,0.017,w,178
2818100,Pretoria,South Africa,0.0286,w,179
2811959,Lubumbashi,DR Congo,0.0433,w,180
2805654,Shaoxing,China,0.0306,w,181
2791005,Manchester,United Kingdom,0.0074,w,182
2780142,Zibo,China,0.0176,w,183
2764584,Yantai,China,0.028,w,184
2761625,Chicago,United States,0.0018,w,185
2758593,Huizhou,China,0.0277,w,186
2754196,Taipei,Taiwan,0.0043,w,187
2674000,Bandung,Indonesia,0.0136,w,188
2666112,Sapporo,Japan,-0.0011,w,189
2665100,Birmingham,United Kingdom,0.0074,w,190
2660072,Accra,Ghana,0.021,w,191
2657088,Vancouver,Canada,0.0097,w,192
2637733,Brazzaville,Republic of the Congo,0.0333,w,193
2626368,Toluca de Lerdo,Mexico,0.0197,w,194
2610483,Mogadishu,Somalia,0.0453,w,195
2603243,Tashkent,Uzbekistan,0.0115,w,196
2602793,Luoyang,China,0.0271,w,197
2584771,Damascus,Syria,0.0328,w,198
2579762,Patna,India,0.02,w,199
2564502,Bhopal,India,0.0237,w,200
2514077,Tangerang,Indonesia,0.0236,w,201
2504505,Brisbane,Australia,0.0131,w,202
2492230,Nantong,China,0.0283,w,203
2475446,Tunis,Tunisia,0.0148,w,204
2439564,San Juan,Puerto Rico,-0.0012,w,205
2439054,Medan,Indonesia,0.0154,w,206
2432304,Baku,Azerbaijan,0.013,w,207
2421354,Beirut,Lebanon,-0.0049,w,208
2415416,Gujranwala,Pakistan,0.0267,w,209
2411785,Peshawar,Pakistan,0.0296,w,210
2409409,Belem,Brazil,0.01,w,211
2380636,Hohhot,China,0.0296,w,212
2377325,Rawalpindi,Pakistan,0.0214,w,213
2375636,Manaus,Brazil,0.0149,w,214
2367626,Maracaibo,Venezuela,0.015,w,215
2367554,Agra,India,0.0232,w,216
2366119,Houston,United States,0.0088,w,217
2349400,Barranquilla,Colombia,0.0106,w,218
2346137,Kannur,India,0.0261,w,219
2343452,Liuzhou,China,0.025,w,220
2342302,Sendai,Japan,0.001,w,221
2334878,Baotou,China,0.0209,w,222
2330928,Visakhapatnam,India,0.0233,w,223
2324084,Vadodara,India,0.0206,w,224
2318850,Taoyuan,Taiwan,0.0098,w,225
2287166,Xuzhou,China,0.0208,w,226
2281198,Phnom Penh,Cambodia,0.0315,w,227
2259787,Tijuana,Mexico,0.0175,w,228
2258396,Esfahan,Iran,0.0176,w,229
2237369,Nashik,India,0.0262,w,230
2232240,Amman,Jordan,0.0103,w,231
2229765,Vijayawada,India,0.0287,w,232
2203025,Aleppo,Syria,0.05,w,233
2180997,Daegu,South Korea,-0.0016,w,234
2179384,Naples,Italy,-0.0004,w,235
2176022,Putian,China,0.0396,w,236
2170513,Grande Vitoria,Brazil,0.0135,w,237
2154600,Multan,Pakistan,0.0231,w,238
2149928,Mecca,Saudi Arabia,0.0167,w,239
2148930,Havana,Cuba,0.0015,w,240
2131291,Yangzhou,China,0.0218,w,241
2124797,Wuhu Anhui,China,0.0384,w,242
2121992,Brussels,Belgium,0.0059,w,243
2117997,Perth,Australia,0.0121,w,244
2110937,Conakry,Guinea,0.0305,w,245
2107539,Baoding,China,0.0211,w,246
2106606,Kollam,India,0.0398,w,247
2102143,Taizhou Zhejiang,China,0.0261,w,248
2086324,Bursa,Turkey,0.0154,w,249
2076364,Linyi Shandong,China,0.0224,w,250
2067591,Hiroshima,Japan,-0.0023,w,251
2057257,Minsk,Belarus,0.0042,w,252
2043107,Rajkot,India,0.0274,w,253
2016092,Haikou,China,0.0212,w,254
2000656,Daqing,China,0.0235,w,255
1993463,Yancheng Jiangsu,China,0.0217,w,256
1987301,Almaty,Kazakhstan,0.0149,w,257
1986439,Lianyungang,China,0.0273,w,258
1983445,Valencia,Venezuela,0.0123,w,259
1981615,Lome,Togo,0.0291,w,260
1976866,Panama City,Panama,0.0201,w,261
1975306,Semarang,Indonesia,0.0193,w,262
1975271,Vienna,Austria,0.0078,w,263
1967684,Hyderabad,Pakistan,0.0217,w,264
1959388,Rabat,Morocco,0.0142,w,265
1956995,Quito,Ecuador,0.0149,w,266
1951085,Ludhiana,India,0.0179,w,267
1949400,Davao City,Philippines,0.0218,w,268
1947785,Baixada Santista,Brazil,0.0093,w,269
